,Random Forest,XGBoost,LightGBM
Pregnancies,0.0387504163897519,0.05332677,160
Glucose,0.12977562878354001,0.056104377,249
BloodPressure,0.04110939325574233,0.04648092,230
SkinThickness,0.06869993729094893,0.046929482,301
Insulin,0.12927337700335034,0.06353385,256
BMI,0.07699607729517083,0.052180786,291
DiabetesPedigreeFunction,0.07516928343096327,0.045815643,346
Age,0.07183903958969716,0.06266179,288
BMI_Category,0.05173404673298547,0.111021206,36
Age_Group,0.09264557309087398,0.20606232,71
Glucose_BMI_Interaction,0.22400722713697588,0.2558829,343